;Mitaka 6

;<time tick> <note> <note> ...
;1
0 A3
60 E4
60 E5
120 A4
120 A5
180 Gis4
180 Gis5
240 A4
240 A5
300 A3
360 E4
360 E5
360 B3
420 Cis4
480 D4
480 D5
480 B3
540 Fis4
540 Fis5
600 B4
600 B5
600 Fis3
660 A4
660 A5
720 Gis4
720 Gis5
720 E4
780 Fis4
780 Fis5
840 Gis4
840 Gis5
840 D4
900 E4
900 E5
960 E4
960 E5
960 C4
1020 G4
1020 G5
1080 C5
1080 C6
1140 B4
1140 B5
1200 C5
1200 C6
1260 C4
1320 G4
1320 G5
1320 D4
1380 E4
1440 F4
1440 F5
1440 D4
1500 A4
1500 A5
1560 D5
1560 D6
1560 A3
1620 C5
1620 C6
1680 B4
1680 B5
1680 G4
1740 A4
1740 A5
1800 B4
1800 B5
1800 G3
1860 G4
1860 G5
1920 C5
1920 C6
1920 C4
1980 G4
1980 G5
2040 F4
2040 F5
2100 G4
2100 G5
2160 E4
2160 E5

10800 EoS
