;Mitaka 6

0 a3
30 e4
30 e5
60 a4
60 a5
90 gis4
90 gis5
120 a4
120 a5
150 a3
180 e4
180 e5
180 b3
210 cis4
240 d4
240 d5
240 b3
270 fis4
270 fis5
300 b4
300 b5
300 fis3
330 a4
330 a5
360 gis4
360 gis5
360 e4
390 fis4
390 fis5
420 gis4
420 gis5
420 d4
450 e4
450 e5
480 e4
480 e5
480 c4
510 g4
510 g5
540 c5
540 c6
570 b4
570 b5
600 c5
600 c6
630 c4
660 g4
660 g5
660 d4
690 e4
720 f4
720 f5
720 d4
750 a4
750 a5
780 d5
780 d6
780 a3
810 c5
810 c6
840 b4
840 b5
840 g4
870 a4
870 a5
900 b4
900 b5
900 g3
930 g4
930 g5
960 c5
960 c6
960 c4
990 g4
990 g5
1020 f4
1020 f5
1050 g4
1050 g5
1080 e4
1080 e5
 
10800 EoS
